2015-12-04 16:14:39 install dmsetup:amd64 <none> 2:1.02.90-2ubuntu1
2015-12-04 16:14:39 status half-installed dmsetup:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:39 status unpacked dmsetup:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:39 status unpacked dmsetup:amd64 2:1.02.90-2ubuntu1
2015-12-04 16:14:39 upgrade dpkg:amd64 1.17.25ubuntu1 1.17.25ubuntu1
2015-12-04 16:14:39 status half-configured dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:39 status unpacked dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:39 status half-installed dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:40 status half-installed dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:40 status unpacked dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:40 status unpacked dpkg:amd64 1.17.25ubuntu1
2015-12-04 16:14:40 install e2fslibs:amd64 <none> 1.42.12-1ubuntu2
2015-12-04 16:14:40 status half-installed e2fslibs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:41 status unpacked e2fslibs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:41 status unpacked e2fslibs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:42 install e2fsprogs:amd64 <none> 1.42.12-1ubuntu2
2015-12-04 16:14:42 status half-installed e2fsprogs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:42 status unpacked e2fsprogs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:42 status unpacked e2fsprogs:amd64 1.42.12-1ubuntu2
2015-12-04 16:14:42 install findutils:amd64 <none> 4.4.2-9build1
2015-12-04 16:14:42 status half-installed findutils:amd64 4.4.2-9build1
2015-12-04 16:14:42 status unpacked findutils:amd64 4.4.2-9build1
2015-12-04 16:14:42 status unpacked findutils:amd64 4.4.2-9build1
2015-12-04 16:14:43 install gcc-5-base:amd64 <none> 5.1~rc1-0ubuntu1
2015-12-04 16:14:43 status half-installed gcc-5-base:amd64 5.1~rc1-0ubuntu1
2015-12-04 16:14:43 status unpacked gcc-5-base:amd64 5.1~rc1-0ubuntu1
2015-12-04 16:14:43 status unpacked gcc-5-base:amd64 5.1~rc1-0ubuntu1
2015-12-04 16:14:43 install grep:amd64 <none> 2.20-4.1
2015-12-04 16:14:43 status half-installed grep:amd64 2.20-4.1
2015-12-04 16:14:43 status unpacked grep:amd64 2.20-4.1
2015-12-04 16:14:43 status unpacked grep:amd64 2.20-4.1
2015-12-04 16:14:43 install gzip:amd64 <none> 1.6-4ubuntu1
2015-12-04 16:14:43 status half-installed gzip:amd64 1.6-4ubuntu1
2015-12-04 16:14:44 status unpacked gzip:amd64 1.6-4ubuntu1
2015-12-04 16:14:44 status unpacked gzip:amd64 1.6-4ubuntu1
2015-12-04 16:14:44 install hostname:amd64 <none> 3.15ubuntu2
2015-12-04 16:14:44 status half-installed hostname:amd64 3.15ubuntu2
2015-12-04 16:14:44 status unpacked hostname:amd64 3.15ubuntu2
2015-12-04 16:14:44 status unpacked hostname:amd64 3.15ubuntu2
2015-12-04 16:14:44 install init:amd64 <none> 1.22ubuntu11
2015-12-04 16:14:44 status half-installed init:amd64 1.22ubuntu11
2015-12-04 16:14:44 status unpacked init:amd64 1.22ubuntu11
2015-12-04 16:14:44 status unpacked init:amd64 1.22ubuntu11
2015-12-04 16:14:45 install initscripts:amd64 <none> 2.88dsf-53.2ubuntu12
2015-12-04 16:14:45 status half-installed initscripts:amd64 2.88dsf-53.2ubuntu12
2015-12-04 16:14:45 status unpacked initscripts:amd64 2.88dsf-53.2ubuntu12
2015-12-04 16:14:45 status unpacked initscripts:amd64 2.88dsf-53.2ubuntu12
2015-12-04 16:14:45 install insserv:amd64 <none> 1.14.0-5ubuntu3
2015-12-04 16:14:45 status half-installed insserv:amd64 1.14.0-5ubuntu3
2015-12-04 16:14:45 status unpacked insserv:amd64 1.14.0-5ubuntu3
2015-12-04 16:14:45 status unpacked insserv:amd64 1.14.0-5ubuntu3
2015-12-04 16:14:46 install libacl1:amd64 <none> 2.2.52-2
2015-12-04 16:14:46 status half-installed libacl1:amd64 2.2.52-2
2015-12-04 16:14:46 status unpacked libacl1:amd64 2.2.52-2
2015-12-04 16:14:46 status unpacked libacl1:amd64 2.2.52-2
2015-12-04 16:14:46 install libapparmor1:amd64 <none> 2.9.1-0ubuntu9
2015-12-04 16:14:46 status half-installed libapparmor1:amd64 2.9.1-0ubuntu9
2015-12-04 16:14:46 status unpacked libapparmor1:amd64 2.9.1-0ubuntu9
2015-12-04 16:14:46 status unpacked libapparmor1:amd64 2.9.1-0ubuntu9
2015-12-04 16:14:46 install libattr1:amd64 <none> 1:2.4.47-2
2015-12-04 16:14:46 status half-installed libattr1:amd64 1:2.4.47-2
2015-12-04 16:14:47 status unpacked libattr1:amd64 1:2.4.47-2
